Mammal (eutherian)	Homo sapiens
Mammal (rodent)		Mus musculus
Mammal (monotreme)	Ornithorhynchus anatinus
Bird			Gallus gallus
Reptile			Anolis carolinensis
Amphibian		Xenopus tropicalis
Teleost			Danio rerio
Holostean		Lepisosteus oculatus
Coelacanth		Latimeria chalumnae
Lungfish		Neoceratodus forsteri
Cartilaginous fish	Callorhinchus milii
Lamprey			Petromyzon marinus
Amphioxus		Branchiostoma floridae
Amphioxus		Branchiostoma belcheri
Tunicate		Ciona robusta
Hemichordate		Saccoglossus kowalevskii
Echinoderm		Strongylocentrotus purpuratus
Mollusc			Crassostrea gigas
Annelid			Capitella teleta
Arthropod (insect)	Drosophila melanogaster
Arthropod (crustacean)	Daphnia pulex
Arthropod (myriapod)	Strigamia maritima
Nematode		Caenorhabditis elegans
Cnidarian		Nematostella vectensis
Cnidarian		Hydra vulgaris
Sponge			Amphimedon queenslandica
Placozoan		Trichoplax adhaerens
Ctenophore		Mnemiopsis leidyi
